,frontendId,title,titleSlug,difficulty,topicTags,status
0,1,Two Sum,two-sum,EASY,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}]",SOLVED
1,2,Add Two Numbers,add-two-numbers,MEDIUM,"[{'name': 'Linked List', 'slug': 'linked-list', '__typename': 'CommonTagNode'}, {'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",SOLVED
2,3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,MEDIUM,"[{'name': 'Hash Table', 'slug': 'hash-table', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Sliding Window', 'slug': 'sliding-window', '__typename': 'CommonTagNode'}]",SOLVED
3,4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,HARD,"[{'name': 'Array', 'slug': 'array', '__typename': 'CommonTagNode'}, {'name': 'Binary Search', 'slug': 'binary-search', '__typename': 'CommonTagNode'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer', '__typename': 'CommonTagNode'}]",SOLVED
4,5,Longest Palindromic Substring,longest-palindromic-substring,MEDIUM,"[{'name': 'Two Pointers', 'slug': 'two-pointers', '__typename': 'CommonTagNode'}, {'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}]",TO_DO
5,6,Zigzag Conversion,zigzag-conversion,MEDIUM,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",SOLVED
6,7,Reverse Integer,reverse-integer,MEDIUM,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}]",SOLVED
7,8,String to Integer (atoi),string-to-integer-atoi,MEDIUM,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}]",TO_DO
8,9,Palindrome Number,palindrome-number,EASY,"[{'name': 'Math', 'slug': 'math', '__typename': 'CommonTagNode'}]",SOLVED
9,10,Regular Expression Matching,regular-expression-matching,HARD,"[{'name': 'String', 'slug': 'string', '__typename': 'CommonTagNode'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming', '__typename': 'CommonTagNode'}, {'name': 'Recursion', 'slug': 'recursion', '__typename': 'CommonTagNode'}]",TO_DO
