,frontendId,title,titleSlug,difficulty,lastSubmittedAt,numSubmitted,questionStatus,lastResult,topicTags
0,96,Unique Binary Search Trees,unique-binary-search-trees,MEDIUM,2025-12-31T11:52:30+00:00,1,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
1,2476,Closest Nodes Queries in a Binary Search Tree,closest-nodes-queries-in-a-binary-search-tree,MEDIUM,2025-12-30T07:30:18+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
2,756,Pyramid Transition Matrix,pyramid-transition-matrix,MEDIUM,2025-12-29T14:29:37+00:00,2,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'String', 'slug': 'string'}, {'name': 'Backtracking', 'slug': 'backtracking'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation'}]"
3,1351,Count Negative Numbers in a Sorted Matrix,count-negative-numbers-in-a-sorted-matrix,EASY,2025-12-28T07:23:43+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Matrix', 'slug': 'matrix'}]"
4,414,Third Maximum Number,third-maximum-number,EASY,2025-12-27T14:17:54+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Sorting', 'slug': 'sorting'}]"
5,2410,Maximum Matching of Players With Trainers,maximum-matching-of-players-with-trainers,MEDIUM,2025-12-26T12:24:39+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
6,455,Assign Cookies,assign-cookies,EASY,2025-12-26T12:23:29+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
7,42,Trapping Rain Water,trapping-rain-water,HARD,2025-12-25T10:50:52+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}, {'name': 'Stack', 'slug': 'stack'}, {'name': 'Monotonic Stack', 'slug': 'monotonic-stack'}]"
8,3075,Maximize Happiness of Selected Children,maximize-happiness-of-selected-children,MEDIUM,2025-12-25T09:05:18+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
9,3074,Apple Redistribution into Boxes,apple-redistribution-into-boxes,EASY,2025-12-24T06:40:25+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
10,21,Merge Two Sorted Lists,merge-two-sorted-lists,EASY,2025-12-23T15:57:10+00:00,3,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Recursion', 'slug': 'recursion'}]"
11,493,Reverse Pairs,reverse-pairs,HARD,2025-12-22T06:28:02+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer'}, {'name': 'Binary Indexed Tree', 'slug': 'binary-indexed-tree'}, {'name': 'Segment Tree', 'slug': 'segment-tree'}, {'name': 'Merge Sort', 'slug': 'merge-sort'}, {'name': 'Ordered Set', 'slug': 'ordered-set'}]"
12,62,Unique Paths,unique-paths,MEDIUM,2025-12-21T12:11:00+00:00,2,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}, {'name': 'Combinatorics', 'slug': 'combinatorics'}]"
13,955,Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,MEDIUM,2025-12-21T10:56:16+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'String', 'slug': 'string'}, {'name': 'Greedy', 'slug': 'greedy'}]"
14,944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,EASY,2025-12-20T12:37:54+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'String', 'slug': 'string'}]"
15,733,Flood Fill,flood-fill,EASY,2025-12-19T12:28:50+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Matrix', 'slug': 'matrix'}]"
16,210,Course Schedule II,course-schedule-ii,MEDIUM,2025-12-19T12:13:47+00:00,3,SOLVED,AC,"[{'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Graph', 'slug': 'graph'}, {'name': 'Topological Sort', 'slug': 'topological-sort'}]"
17,207,Course Schedule,course-schedule,MEDIUM,2025-12-19T11:51:10+00:00,1,SOLVED,AC,"[{'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Graph', 'slug': 'graph'}, {'name': 'Topological Sort', 'slug': 'topological-sort'}]"
18,994,Rotting Oranges,rotting-oranges,MEDIUM,2025-12-19T11:02:57+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Matrix', 'slug': 'matrix'}]"
19,200,Number of Islands,number-of-islands,MEDIUM,2025-12-18T11:24:08+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Union Find', 'slug': 'union-find'}, {'name': 'Matrix', 'slug': 'matrix'}]"
20,389,Find the Difference,find-the-difference,EASY,2025-12-17T14:15:51+00:00,2,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'String', 'slug': 'string'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation'}, {'name': 'Sorting', 'slug': 'sorting'}]"
